         111611055 function calls (108786268 primitive calls) in 138.524 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  822/137    0.008    0.000    1.509    0.011 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/offsetbox.py:357(draw)
     2223    0.008    0.000    0.052    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/markers.py:791(_set_tickleft)
     1594    0.008    0.000    0.010    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/cbook/__init__.py:1719(safe_isfinite)
      334    0.008    0.000    0.017    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/numpy/lib/stride_tricks.py:340(_broadcast_to)
      280    0.008    0.000   16.911    0.060 /home/waves/projects/MATS/MATS-utility-functions/src/mats_utils/plotting/plotCCD.py:77(calculate_geo)
    41587    0.008    0.000    0.008    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/backend_bases.py:965(set_url)
     8768    0.008    0.000    0.759    0.000 <__array_function__ internals>:177(roots)
      480    0.007    0.000    0.092    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/text.py:54(_get_textbox)
     2041    0.007    0.000    1.172    0.001 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/axis.py:1497(_copy_tick_props)
      987    0.007    0.000    0.223    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/numpy/ma/core.py:5705(min)
    64361    0.007    0.000    0.007    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/path.py:244(simplify_threshold)
     2417    0.007    0.000    0.007    0.000 {method 'seek' of '_io.BufferedReader' objects}
    23897    0.007    0.000    0.007    0.000 {method 'startswith' of 'str' objects}
      832    0.007    0.000    0.077    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/cm.py:397(__init__)
      280    0.007    0.000    0.060    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/jplephem/spk.py:38(<listcomp>)
    18253    0.007    0.000    0.007    0.000 {method 'rpartition' of 'str' objects}
     2940    0.007    0.000    0.346    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/colorbar.py:155(__call__)
    44934    0.007    0.000    0.007    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/artist.py:1095(sticky_edges)
     8768    0.007    0.000    0.011    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/numpy/lib/function_base.py:2389(<listcomp>)
     5810    0.007    0.000    0.009    0.000 <frozen _collections_abc>:794(values)
     2280    0.007    0.000    0.046    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/markers.py:811(_set_tickdown)
      775    0.007    0.000    0.007    0.000 {built-in method posix.stat}
      560    0.007    0.000    0.011    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/numpy/linalg/linalg.py:2357(norm)
     8768    0.007    0.000    0.026    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/numpy/lib/function_base.py:2409(<listcomp>)
    37422    0.007    0.000    0.007    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/backend_bases.py:973(set_snap)
     7000    0.007    0.000    0.007    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/tokenize.py:616(generate_tokens)
     1820    0.007    0.000    0.518    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/pyplot.py:2229(figtext)
    53962    0.007    0.000    0.007    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/backend_bases.py:1007(get_hatch_linewidth)
    53962    0.007    0.000    0.007    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/backend_bases.py:768(restore)
     4137    0.007    0.000    3.034    0.001 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/axes/_base.py:72(wrapper)
    12045    0.007    0.000    0.007    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/text.py:1301(set_parse_math)
    39963    0.007    0.000    0.010    0.000 {method 'extend' of 'list' objects}
        1    0.007    0.007    0.007    0.007 {method 'rand' of 'numpy.random.mtrand.RandomState' objects}
     4165    0.007    0.000    0.008    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/axis.py:558(locator)
    16437    0.007    0.000    0.007    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/inspect.py:2821(__init__)
     1997    0.007    0.000    0.007    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/axis.py:995(<dictcomp>)
     1810    0.007    0.000    0.096    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/pathlib.py:504(_from_parts)
     1680    0.007    0.000    0.017    0.000 {method 'max' of 'numpy.generic' objects}
     7000    0.007    0.000    0.007    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/tokenize.py:168(__init__)
    32204    0.007    0.000    0.007    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/enum.py:1221(name)
     1120    0.007    0.000    0.100    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/axes/_base.py:4340(get_default_bbox_extra_artists)
     8824    0.007    0.000    0.077    0.000 <__array_function__ internals>:177(append)
     2240    0.007    0.000    0.009    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/gridspec.py:642(rowspan)
     1802    0.007    0.000    0.102    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/pathlib.py:868(__new__)
      280    0.007    0.000    0.017    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/skyfield/jpllib.py:72(<listcomp>)
      140    0.007    0.000   13.862    0.099 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/PIL/ImageFile.py:481(_save)
      560    0.007    0.000    0.037    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/skyfield/toposlib.py:70(__init__)
    19814    0.007    0.000    0.007    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/axis.py:733(get_remove_overlapping_locs)
      480    0.007    0.000    0.140    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/text.py:496(update_bbox_position_size)
     8768    0.007    0.000    0.051    0.000 <__array_function__ internals>:177(diag)
     6291    0.007    0.000    0.007    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/contextlib.py:457(__init__)
      171    0.007    0.000    0.007    0.000 {built-in method builtins.dir}
      822    0.007    0.000    0.051    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/cartopy/mpl/geoaxes.py:454(hold_limits)
     2240    0.006    0.000    0.009    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/gridspec.py:450(<listcomp>)
      560    0.006    0.000    0.007    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/skyfield/toposlib.py:28(__init__)
      480    0.006    0.000    0.020    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/cartopy/mpl/gridliner.py:1071(_get_loc_from_spine_intersection)
     8867    0.006    0.000    0.038    0.000 {method 'all' of 'numpy.ndarray' objects}
     2012    0.006    0.000    0.006    0.000 {method 'searchsorted' of 'numpy.ndarray' objects}
    40911    0.006    0.000    0.006    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/cartopy/crs.py:1275(x_limits)
     6422    0.006    0.000    0.006    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/axis.py:399(<dictcomp>)
3387/3187    0.006    0.000    0.011    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/offsetbox.py:217(axes)
    37226    0.006    0.000    0.006    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/cartopy/mpl/feature_artist.py:39(__eq__)
     2270    0.006    0.000    0.009    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/gridspec.py:439(<dictcomp>)
      560    0.006    0.000    0.072    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/skyfield/positionlib.py:876(_to_altaz)
     3626    0.006    0.000    0.008    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/pathlib.py:239(splitroot)
    26304    0.006    0.000    0.006    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/numpy/lib/function_base.py:2361(<genexpr>)
     1400    0.006    0.000    0.133    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/skyfield/timelib.py:135(from_datetime)
     1960    0.006    0.000    0.009    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/gridspec.py:695(__eq__)
     7362    0.006    0.000    0.110    0.000 <__array_function__ internals>:177(unique)
    12793    0.006    0.000    0.006    0.000 {method 'endswith' of 'str' objects}
     2800    0.006    0.000    0.008    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/contextlib.py:460(pop_all)
     2012    0.006    0.000    0.019    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/axes/_base.py:3599(_validate_converted_limits)
3540/3513    0.006    0.000    0.025    0.000 <frozen importlib._bootstrap>:1209(_handle_fromlist)
     1869    0.006    0.000    0.106    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/colorbar.py:1286(_extend_lower)
     1120    0.006    0.000    0.451    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/skyfield/toposlib.py:41(_at)
     6123    0.006    0.000    0.093    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/copy.py:237(_deepcopy_method)
     1045    0.006    0.000    0.016    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/cbook/__init__.py:221(connect)
      280    0.006    0.000    0.126    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/skyfield/jpllib.py:68(__init__)
      760    0.006    0.000    0.070    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/axes/_base.py:2911(handle_single_axis)
     8768    0.006    0.000    0.065    0.000 <__array_function__ internals>:177(full_like)
     9116    0.006    0.000    0.034    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/shapely/geometry/base.py:208(__del__)
    12045    0.006    0.000    0.006    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/text.py:545(set_wrap)
     8768    0.006    0.000    0.323    0.000 <__array_function__ internals>:177(eigvals)
      685    0.006    0.000    0.329    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/collections.py:329(<listcomp>)
     4036    0.006    0.000    0.196    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/offsetbox.py:276(get_offset)
      157    0.006    0.000    5.441    0.035 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/cartopy/crs.py:933(_project_polygon)
     8768    0.006    0.000    0.094    0.000 <__array_function__ internals>:177(hstack)
     7280    0.006    0.000    0.006    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/skyfield/jpllib.py:241(_center)
    13412    0.006    0.000    0.006    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/colors.py:1262(clip)
     3374    0.006    0.000    0.070    0.000 <__array_function__ internals>:177(zeros_like)
     3920    0.006    0.000    0.072    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/skyfield/functions.py:35(mxm)
     9655    0.006    0.000    0.006    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/numpy/linalg/linalg.py:200(_assert_stacked_square)
    12880    0.006    0.000    0.008    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/axes/_base.py:3035(<genexpr>)
     3133    0.006    0.000    0.061    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/numpy/lib/arraysetops.py:644(isin)
     6123    0.006    0.000    0.228    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/path.py:281(__deepcopy__)
     6880    0.006    0.000    0.023    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/transforms.py:958(x0)
      301    0.006    0.000    0.037    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/axis.py:1970(_set_tick_locations)
     2223    0.006    0.000    0.105    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/markers.py:797(_set_tickright)
     8768    0.006    0.000    0.009    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/numpy/lib/function_base.py:2360(<listcomp>)
     4053    0.006    0.000    0.006    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/axis.py:569(formatter)
     4027    0.006    0.000    0.014    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/ticker.py:683(get_offset)
     4795    0.006    0.000    0.007    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/offsetbox.py:319(<listcomp>)
     1459    0.006    0.000    0.024    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/axes/_base.py:1136(_set_artist_props)
     2442    0.006    0.000    0.007    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/_api/__init__.py:173(check_getitem)
     1400    0.006    0.000    0.006    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/skyfield/earthlib.py:129(earth_rotation_angle)
      361    0.006    0.000    0.098    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/axes/_base.py:1027(_update_transScale)
     1960    0.006    0.000    0.010    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/skyfield/vectorlib.py:190(__init__)
    40848    0.006    0.000    0.006    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/cartopy/crs.py:1279(y_limits)
     2414    0.006    0.000    0.014    0.000 {method 'any' of 'numpy.generic' objects}
    15560    0.006    0.000    0.006    0.000 {method 'get_bitmap_offset' of 'matplotlib.ft2font.FT2Font' objects}
    15560    0.006    0.000    0.006    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/backends/backend_agg.py:264(get_canvas_width_height)
    20663    0.005    0.000    0.007    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/cartopy/crs.py:198(__hash__)
    15560    0.005    0.000    0.005    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/text.py:541(get_wrap)
     4612    0.005    0.000    0.005    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/shapely/geometry/base.py:64(geometry_type_name)
       39    0.005    0.000    0.005    0.000 {built-in method marshal.loads}
      441    0.005    0.000    0.065    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/numpy/ma/core.py:3065(__array_wrap__)
    18769    0.005    0.000    0.008    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/cartopy/mpl/feature_artist.py:36(__init__)
    17319    0.005    0.000    0.005    0.000 {method 'values' of 'mappingproxy' objects}
      560    0.005    0.000    0.009    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/skyfield/vectorlib.py:42(__add__)
    41106    0.005    0.000    0.005    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/shapely/geos.py:607(errcheck_predicate)
     4032    0.005    0.000    0.011    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/pandas/core/series.py:708(_values)
     2098    0.005    0.000    0.014    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/shapely/linref.py:15(__call__)
     8400    0.005    0.000    0.005    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/jplephem/spk.py:15(jd)
    12321    0.005    0.000    0.005    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/numpy/core/multiarray.py:341(where)
     4032    0.005    0.000    0.005    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/pandas/core/internals/managers.py:2037(internal_values)
      380    0.005    0.000    0.093    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/axes/_base.py:2845(autoscale_view)
     8346    0.005    0.000    0.008    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/artist.py:239(<genexpr>)
      700    0.005    0.000    0.033    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/axes/_base.py:1878(get_data_ratio)
    57540    0.005    0.000    0.005    0.000 {built-in method math.factorial}
4634/4627    0.005    0.000    0.057    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/axes/_base.py:1039(get_position)
     2107    0.005    0.000    0.007    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/_pylab_helpers.py:100(get_active)
      140    0.005    0.000   16.565    0.118 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/layout_engine.py:158(execute)
     2107    0.005    0.000    0.012    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/pyplot.py:829(gcf)
 2877/959    0.005    0.000    0.519    0.001 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/offsetbox.py:344(get_extent)
     3920    0.005    0.000    0.056    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/skyfield/functions.py:31(mxv)
     1400    0.005    0.000    0.005    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/skyfield/nutationlib.py:71(mean_obliquity)
     2109    0.005    0.000    0.017    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/patches.py:315(_set_edgecolor)
     1400    0.005    0.000    0.110    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/jplephem/descriptorlib.py:9(__get__)
      140    0.005    0.000    0.007    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/backend_bases.py:714(<dictcomp>)
     2044    0.005    0.000    0.008    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/numpy/ma/core.py:664(getdata)
     2280    0.005    0.000    0.032    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/markers.py:805(_set_tickup)
     3920    0.005    0.000    0.156    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/skyfield/timelib.py:318(tdb)
      157    0.005    0.000    0.024    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/shapely/geometry/multipolygon.py:157(geos_multipolygon_from_polygons)
     9655    0.005    0.000    0.005    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/numpy/linalg/linalg.py:107(get_linalg_error_extobj)
      140    0.005    0.000    0.292    0.002 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/figure.py:1284(subplots_adjust)
     2098    0.005    0.000    0.026    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/shapely/geometry/point.py:38(__init__)
     6031    0.005    0.000    0.007    0.000 <frozen posixpath>:41(_get_sep)
      411    0.005    0.000    0.007    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/cartopy/mpl/style.py:31(merge)
      840    0.005    0.000    0.250    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/skyfield/vectorlib.py:185(_at)
2192/1096    0.005    0.000    0.560    0.001 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/offsetbox.py:471(<listcomp>)
     3569    0.005    0.000    0.008    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/cbook/__init__.py:2324(_unpack_to_numpy)
      700    0.005    0.000    0.010    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/transforms.py:534(shrunk_to_aspect)
      840    0.005    0.000    0.022    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/skyfield/iokit.py:386(_search)
    10950    0.005    0.000    0.005    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/gridspec.py:620(num2)
     1869    0.005    0.000    0.075    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/colorbar.py:1291(_extend_upper)
      140    0.005    0.000   16.615    0.119 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/figure.py:3407(tight_layout)
      987    0.005    0.000    0.204    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/numpy/ma/core.py:5842(max)
    13650    0.005    0.000    0.006    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/figure.py:206(<lambda>)
     1842    0.005    0.000    0.015    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/artist.py:193(remove)
    14000    0.005    0.000    0.005    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/zipfile.py:751(tell)
      280    0.005    0.000    0.068    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/jplephem/spk.py:36(__init__)
     4503    0.005    0.000    0.005    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/axis.py:228(get_tick_padding)
    14611    0.005    0.000    0.005    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/gridspec.py:628(get_gridspec)
      855    0.005    0.000    0.096    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/cbook/__init__.py:742(safe_masked_invalid)
     2800    0.005    0.000    0.008    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/zipfile.py:1438(namelist)
     1758    0.005    0.000    0.005    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/font_manager.py:1229(score_stretch)
      324    0.005    0.000    0.054    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/axes/_base.py:1538(_set_title_offset_trans)
     1400    0.005    0.000    0.051    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/skyfield/timelib.py:815(delta_t)
     1974    0.005    0.000    0.032    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/numpy/ma/core.py:278(_extremum_fill_value)
    24461    0.005    0.000    0.005    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/transforms.py:2127(get_matrix)
      140    0.005    0.000   77.278    0.552 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/backend_bases.py:2213(print_figure)
     1450    0.005    0.000    0.012    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/collections.py:658(_bcast_lwls)
      147    0.005    0.000    0.132    0.001 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/collections.py:1955(__init__)
      980    0.005    0.000    0.088    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/numpy/core/numeric.py:218(ones_like)
     7000    0.005    0.000    0.005    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/numpy/lib/format.py:190(_check_version)
     1400    0.005    0.000    0.014    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/jplephem/daf.py:149(map_array)
     1400    0.005    0.000    0.046    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/skyfield/timelib.py:777(_mean_obliquity_radians)
    20605    0.005    0.000    0.005    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/cbook/__init__.py:1657(<lambda>)
     2202    0.005    0.000    0.049    0.000 <__array_function__ internals>:177(diff)
     3929    0.005    0.000    0.005    0.000 {method 'transpose' of 'numpy.ndarray' objects}
     1998    0.005    0.000    0.068    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/collections.py:733(_set_facecolor)
    23320    0.005    0.000    0.005    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/numpy/core/multiarray.py:1071(copyto)
    20980    0.004    0.000    0.004    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/spines.py:198(get_path)
     4928    0.004    0.000    0.004    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/colorbar.py:1296(_long_axis)
      147    0.004    0.000    0.190    0.001 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/axis.py:784(_set_axes_scale)
     3736    0.004    0.000    0.010    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/numpy/ma/core.py:3776(filled)
    11487    0.004    0.000    0.004    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/axes/_base.py:1130(get_axes_locator)
     3681    0.004    0.000    0.159    0.000 <__array_function__ internals>:177(intersect1d)
     6944    0.004    0.000    0.004    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/axis.py:1651(have_units)
    13509    0.004    0.000    0.004    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/markers.py:482(_set_nothing)
     1758    0.004    0.000    0.007    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/font_manager.py:1171(score_family)
      354    0.004    0.000    0.692    0.002 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/axes/_base.py:3358(tick_params)
      280    0.004    0.000    0.162    0.001 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/skyfield/iokit.py:164(__call__)
    12246    0.004    0.000    0.004    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/enum.py:1210(__reduce_ex__)
     2800    0.004    0.000    0.006    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/numpy/lib/npyio.py:72(__init__)
     1400    0.004    0.000    0.036    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/skyfield/timelib.py:874(nutation_matrix)
     5626    0.004    0.000    0.005    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/spines.py:582(__len__)
     8867    0.004    0.000    0.031    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/numpy/core/_methods.py:60(_all)
        1    0.004    0.004    0.004    0.004 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/backends/backend_agg.py:78(__init__)
    11024    0.004    0.000    0.004    0.000 {built-in method math.copysign}
      962    0.004    0.000    0.021    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/numpy/ma/core.py:1417(getmaskarray)
