         111611055 function calls (108786268 primitive calls) in 138.524 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  2887560    0.463    0.000    0.463    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/artist.py:816(get_animated)
   157450    0.458    0.000    0.545    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/transforms.py:194(set_children)
   791938    0.439    0.000    0.439    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/numpy/core/fromnumeric.py:70(<dictcomp>)
381672/6124    0.428    0.000    0.933    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/copy.py:128(deepcopy)
    61456    0.424    0.000   10.264    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/text.py:673(draw)
    15560    0.420    0.000    0.420    0.000 {method 'draw_glyphs_to_bitmap' of 'matplotlib.ft2font.FT2Font' objects}
    98560    0.419    0.000    0.419    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/cbook/__init__.py:1799(<dictcomp>)
     7000    0.416    0.000    0.662    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/tokenize.py:187(untokenize)
     8397    0.414    0.000    0.470    0.000 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
      158    0.411    0.003    4.654    0.029 {cartopy.trace.project_linear}
169551/140    0.405    0.000   63.082    0.451 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/artist.py:33(draw_wrapper)
   462889    0.403    0.000    2.293    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/artist.py:82(_stale_axes_callback)
168472/168452    0.402    0.000    3.519    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/transforms.py:1467(transform)
    48306    0.402    0.000    3.233    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/lines.py:731(draw)
  1187621    0.391    0.000    0.391    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/transforms.py:110(__init__)
   265907    0.390    0.000    0.444    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/contextlib.py:104(__init__)
   122340    0.388    0.000    0.388    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/transforms.py:2907(_interval_contains_close)
357621/171039    0.383    0.000    0.480    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/transforms.py:167(_invalidate_internal)
   868052    0.382    0.000    0.382    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/pyproj/utils.py:66(_copytobuffer_return_scalar)
    77549    0.376    0.000    0.526    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/numpy/ma/core.py:2946(_update_from)
306889/306873    0.376    0.000    0.937    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/transforms.py:1848(transform_affine)
    16650    0.370    0.000    0.448    0.000 {method 'draw_markers' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
692183/629383    0.366    0.000    3.266    0.000 {built-in method builtins.next}
    13509    0.362    0.000    2.996    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/lines.py:272(__init__)
    47190    0.359    0.000    0.359    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/numpy/core/_methods.py:107(_clip_dep_invoke_with_casting)
   488717    0.359    0.000    0.359    0.000 {method 'reshape' of 'numpy.ndarray' objects}
    94380    0.357    0.000    0.653    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/numpy/core/_methods.py:92(_clip_dep_is_scalar_nan)
    67841    0.357    0.000    1.687    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/numpy/ma/core.py:2814(__new__)
    13412    0.350    0.000    2.523    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/colors.py:1314(__call__)
   129383    0.348    0.000    1.387    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/axes/_base.py:802(<dictcomp>)
   306889    0.345    0.000    0.345    0.000 {built-in method matplotlib._path.affine_transform}
    32204    0.343    0.000    0.528    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/artist.py:150(__init__)
  2369603    0.331    0.000    0.346    0.000 {method 'get' of 'dict' objects}
    20605    0.330    0.000    1.334    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/lines.py:656(recache)
   152669    0.327    0.000    0.937    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/copy.py:259(_reconstruct)
   107690    0.321    0.000    0.456    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/_api/__init__.py:65(check_isinstance)
  3242758    0.317    0.000    0.322    0.000 {built-in method builtins.hasattr}
   649530    0.311    0.000    0.470    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/enum.py:669(__call__)
    36820    0.305    0.000    0.564    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/transforms.py:2827(nonsingular)
   601076    0.297    0.000    0.299    0.000 {built-in method numpy.asanyarray}
  1695303    0.295    0.000    0.295    0.000 {function RcParams.__getitem__ at 0x7f0f0ade5300}
